Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,2018-04-29 02:17:34+00:00,1.0,0.0,0.0,"RT @FNFORSC2: #SouthernCameroons 
#FreeSisikuAyukTabe 
#FreeTassang 
#FreeMancho 
#FreeMamaAgborRuth mother of activist Mark Bareta 
#Ambaz…",120,@BBC
-0.447,2018-04-29 02:17:30+00:00,0.887,0.113,0.0,"RT @milly4red: When the people have decided @EmmanuelMacron, even all your #french army WILL NEVER STOP US. We've had enough &amp; the time has…",121,@BBC
0.128,2018-04-29 02:17:03+00:00,0.758,0.109,0.133,@Indira_L @BBC @PBS @wmarybeard If true then it is the us viewers loss as @wmarybeard is first rate 🙂,122,@BBC
0.556,2018-04-29 02:16:58+00:00,0.865,0.0,0.135,RT @Sharonwifey: This is even more impressive when you consider @theSNP is a sitting govt in its 3rd term with 90% of written media hostile…,123,@BBC
-0.494,2018-04-29 02:16:49+00:00,0.868,0.132,0.0,"RT @AntiSocialstPAC: Let this @JoyAnnReid incident be the beginning of the end for Sanders , his Bros and the hateful message they carry…",124,@BBC
0.0,2018-04-29 02:16:00+00:00,1.0,0.0,0.0,@realDonaldTrump @BarackObama @GOP @DNC @VP @JoeBiden @SpeakerRyan @NancyPelosi @SenateMajLdr @SenSchumer… https://t.co/9z9qceQx9I,125,@BBC
0.0,2018-04-29 02:15:53+00:00,1.0,0.0,0.0,"#SaviorOfTheWorld
जय गुरुदेव की भविष्यवाणी के अनुसार वह महान संत कौन हैं जानने के लिए देखें ईश्वर टीवी शाम 8:30 से… https://t.co/TdTIMtjkNZ",126,@BBC
-0.612,2018-04-29 02:15:37+00:00,0.704,0.218,0.077,"RT @HumanRightsTR: HALIME GULSU arrested at Mersin, Turkiye on 20 Feb 2018. She has been suffering rare immune system disease and has been…",127,@BBC
0.296,2018-04-29 02:14:34+00:00,0.896,0.0,0.104,"RT @anita_namdev: Sant rampalji maharaj is complete spiritual knowledge teacher, because they tell us worship according to all holly script…",128,@BBC
0.0,2018-04-29 02:14:32+00:00,1.0,0.0,0.0,"RT @Sitambarsingh1: SaviorOfTheWorld
भारत के एक अदुतीय ग्रेट सन्त का जन्म होगा । उसके ज्ञान के सामने सारे धर्मगुरु नममस्तक होंगे पहले उसका…",129,@BBC
0.0,2018-04-29 02:14:27+00:00,1.0,0.0,0.0,"@BBC @BEARDYOURSELF06 @BTS_twt Sería bueno si también vinieran a  latinoamerica sobre todo a perú 🇵🇪❤️
#BTSCONCERTINPERU
@BTS_twt",130,@BBC
-0.612,2018-04-29 02:14:26+00:00,0.704,0.218,0.077,"RT @HumanRightsTR: HALIME GULSU arrested at Mersin, Turkiye on 20 Feb 2018. She has been suffering rare immune system disease and has been…",131,@BBC
0.0,2018-04-29 02:14:15+00:00,1.0,0.0,0.0,फ्रांस के नास्त्रेदमस ने छाती ठोक कर शब्दा शब्द कहा था वह ग्रेट सायरन अपने गूढ़ गहरा ज्ञान से अज्ञान की खाल उतारेगा… https://t.co/VKpwPyDUie,132,@BBC
0.765,2018-04-29 02:14:07+00:00,0.708,0.0,0.292,RT @BBC: ❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn,133,@BBC
0.0,2018-04-29 02:14:04+00:00,1.0,0.0,0.0,"RT @Sitambarsingh1: SaviorOfTheWorld
भारत के एक अदुतीय ग्रेट सन्त का जन्म होगा । उसके ज्ञान के सामने सारे धर्मगुरु नममस्तक होंगे पहले उसका…",134,@BBC
-0.718,2018-04-29 02:14:01+00:00,0.773,0.227,0.0,We just added #deathinicevalley #podcast to @podknife! Delve into a murder unsolved for nearly half a century in th… https://t.co/R47pIZ92IP,135,@BBC
0.0,2018-04-29 02:13:07+00:00,1.0,0.0,0.0,"RT @BR_MEHRA: #SaviorOfTheWorld
5505 जब कलयुग बीत जाए महापुरुष फरमान तब जगतारण को आए कौन है वह महापुरुष अवश्य देखिए रोजाना साधना टीवी 7:30…",136,@BBC
0.0,2018-04-29 02:12:46+00:00,1.0,0.0,0.0,"SaviorOfTheWorld
भारत के एक अदुतीय ग्रेट सन्त का जन्म होगा । उसके ज्ञान के सामने सारे धर्मगुरु नममस्तक होंगे पहले उ… https://t.co/yoK5PKmtoB",137,@BBC
0.0,2018-04-29 02:12:34+00:00,1.0,0.0,0.0,"RT @BR_MEHRA: #SaviorOfTheWorld
पर्वत पर्वत में फिरा कारण अपने राम राम जैसे संत मिले जिन सारे सब काम जानिए ऐसे ही सच्चे संत के बारे में जरू…",138,@BBC
